Displacement tonne,1.667,2.491,3.316,4.14,4.964,5.789,6.613,7.438,8.262,9.087,9.911,10.74,11.56,12.38,13.21,14.03,14.86,15.68,16.51,17.33,18.16,18.98,19.8,20.63,21.45
Heel to Starboard degrees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Draft at FP m,0.1,0.154,0.208,0.262,0.317,0.371,0.425,0.479,0.533,0.587,0.642,0.696,0.75,0.804,0.858,0.912,0.967,1.021,1.075,1.129,1.183,1.237,1.292,1.346,1.4
Draft at AP m,0.1,0.154,0.208,0.262,0.317,0.371,0.425,0.479,0.533,0.587,0.642,0.696,0.75,0.804,0.858,0.912,0.967,1.021,1.075,1.129,1.183,1.237,1.292,1.346,1.4
Draft at LCF m,0.1,0.154,0.208,0.262,0.317,0.371,0.425,0.479,0.533,0.587,0.642,0.696,0.75,0.804,0.858,0.912,0.967,1.021,1.075,1.129,1.183,1.237,1.292,1.346,1.4
Trim (+ve by stern) m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WL Length m,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
WL Beam m,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419
Wetted Area m^2,18.045,19.458,20.87,22.283,23.695,25.108,26.52,27.932,29.345,30.757,32.17,33.582,34.995,36.407,37.82,39.232,40.645,42.057,43.469,44.882,46.294,47.707,49.119,50.532,51.944
Waterpl. Area m^2,15.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19
Prismatic Coeff.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Block Coeff.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Midship Area Coeff.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Waterpl. Area Coeff.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LCB from zero pt. (+ve fwd) m ,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
LCF from zero pt. (+ve fwd) m ,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
KB m,0.045,0.072,0.099,0.127,0.154,0.181,0.208,0.235,0.262,0.289,0.316,0.343,0.37,0.397,0.424,0.452,0.479,0.506,0.533,0.56,0.587,0.614,0.641,0.668,0.695
KG m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMt m,20.957,14.021,10.535,8.437,7.036,6.034,5.281,4.696,4.227,3.844,3.524,3.253,3.021,2.82,2.644,2.489,2.351,2.227,2.116,2.015,1.924,1.84,1.764,1.693,1.628
BML m,19.026,12.729,9.564,7.659,6.387,5.478,4.795,4.263,3.838,3.49,3.199,2.954,2.743,2.56,2.401,2.26,2.134,2.022,1.921,1.83,1.747,1.671,1.601,1.537,1.478
GMt m,21.002,14.093,10.634,8.563,7.189,6.214,5.489,4.931,4.489,4.133,3.84,3.597,3.392,3.218,3.069,2.94,2.829,2.733,2.649,2.575,2.511,2.454,2.405,2.361,2.323
GML m,19.071,12.801,9.663,7.786,6.541,5.658,5.003,4.498,4.1,3.779,3.515,3.297,3.113,2.958,2.825,2.711,2.613,2.528,2.454,2.389,2.333,2.285,2.242,2.205,2.173
KMt m,21.002,14.093,10.634,8.563,7.189,6.214,5.489,4.931,4.489,4.133,3.84,3.597,3.392,3.218,3.069,2.94,2.829,2.733,2.649,2.575,2.511,2.454,2.405,2.361,2.323
KML m,19.071,12.801,9.663,7.786,6.541,5.658,5.003,4.498,4.1,3.779,3.515,3.297,3.113,2.958,2.825,2.711,2.613,2.528,2.454,2.389,2.333,2.285,2.242,2.205,2.173
Immersion (TPc) tonne/cm,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152
MTc tonne.m,0.064,0.064,0.064,0.064,0.065,0.066,0.066,0.067,0.068,0.069,0.07,0.071,0.072,0.073,0.075,0.076,0.078,0.079,0.081,0.083,0.085,0.087,0.089,0.091,0.093
RM at 1deg = GMt.Disp.sin(1) tonne.m,0.611,0.613,0.615,0.619,0.623,0.628,0.634,0.64,0.647,0.655,0.664,0.674,0.684,0.695,0.707,0.72,0.734,0.748,0.763,0.779,0.796,0.813,0.831,0.85,0.87
Max deck inclination deg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.$,0,-1.$,0,0,0,0
Trim angle (+ve by stern) deg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
